population size,total iteration number,misbehaviour number
174,100,56

id,expected_label,predicted_label,misbehaviour,confidence,mutate_attempts,failed
25,1,0,True,0.5529985427856445,2,False
121,0,1,True,0.7966082096099854,2,False
149,0,1,True,0.9345266819000244,2,False
30,1,0,True,0.5467027425765991,3,False
42,1,0,True,0.5069217681884766,3,False
120,0,1,True,0.6347358226776123,3,False
66,1,0,True,0.5294439792633057,5,False
155,0,1,True,0.503230094909668,5,False
52,0,1,True,0.6484696865081787,6,False
132,0,1,True,0.5130612850189209,6,False
156,0,1,True,0.7468992471694946,6,False
158,0,1,True,0.9402342438697815,6,False
135,0,1,True,0.656851053237915,11,False
21,0,1,True,0.8445483446121216,12,False
33,0,1,True,0.7773744463920593,12,False
59,0,1,True,0.6005772352218628,16,False
125,1,0,True,0.5395565629005432,16,False
87,0,1,True,0.5353550314903259,19,False
102,0,1,True,0.5334601998329163,20,False
107,0,1,True,0.5812444090843201,20,False
117,0,1,True,0.6925567388534546,20,False
14,0,1,True,0.9705933332443237,26,False
89,0,1,True,0.8404247760772705,26,False
70,0,1,True,0.673041582107544,27,False
115,0,1,True,0.9426344633102417,27,False
1,0,1,True,0.6786195635795593,29,False
163,1,0,True,0.5489318370819092,30,False
13,0,1,True,0.6679781675338745,33,False
127,0,1,True,0.5641749501228333,36,False
71,0,1,True,0.8930984139442444,37,False
31,0,1,True,0.5990250706672668,38,False
4,0,1,True,0.8664634823799133,39,False
103,0,1,True,0.5458734035491943,43,False
124,0,1,True,0.7812191247940063,45,False
152,0,1,True,0.8480112552642822,47,False
170,0,1,True,0.7334281802177429,47,False
15,0,1,True,0.9832762479782104,50,False
8,0,1,True,0.7127447724342346,51,False
169,0,1,True,0.7024089097976685,54,False
140,0,1,True,0.6018977761268616,56,False
168,0,1,True,0.5780393481254578,56,False
147,1,0,True,0.8786139488220215,57,False
26,0,1,True,0.9983674883842468,61,False
32,0,1,True,0.9708672761917114,62,False
44,0,1,True,0.5578024387359619,64,False
84,0,1,True,0.5817006826400757,64,False
91,1,0,True,0.9472885131835938,65,False
62,0,1,True,0.9678360819816589,73,False
113,1,0,True,0.962119460105896,73,False
37,0,1,True,0.5119172930717468,78,False
100,0,1,True,0.7281302213668823,80,False
94,1,0,True,0.6474153995513916,84,False
86,1,0,True,0.5732553601264954,85,False
98,0,1,True,0.6159561276435852,85,False
118,0,1,True,0.9632691144943237,93,False
160,1,0,True,0.9782588481903076,95,False
0,1,1,False,0.999940037727356,,False
2,1,1,False,0.9997367262840271,,False
3,0,0,False,0.9998735785484314,,False
5,1,1,False,0.9993564486503601,,False
6,1,1,False,0.9996951818466187,,False
7,0,0,False,0.991569459438324,,False
9,0,0,False,0.9998774528503418,,False
10,1,1,False,0.9999980926513672,,False
11,0,0,False,0.984815776348114,,False
12,1,1,False,0.998108983039856,,False
16,1,1,False,0.9999703168869019,,False
17,0,0,False,0.9997419714927673,,False
18,1,1,False,0.9996436834335327,,False
19,0,0,False,0.9995080232620239,,False
20,1,1,False,0.976700484752655,,False
22,1,1,False,0.9999959468841553,,False
23,1,1,False,0.9997912049293518,,False
24,1,1,False,0.9999912977218628,,False
27,1,1,False,0.9999165534973145,,False
28,1,1,False,0.999992847442627,,False
29,0,0,False,0.9979889988899231,,False
34,1,1,False,0.9981663823127747,,False
35,0,0,False,0.9999993443489075,,False
36,1,1,False,0.9999954700469971,,False
38,1,1,False,0.9998608827590942,,False
39,0,0,False,0.9991699457168579,,False
40,1,1,False,0.9999295473098755,,False
41,1,1,False,0.9999762773513794,,False
43,1,1,False,0.9998419284820557,,False
