,idx,pop_num,pop_cum_num,ID_num_0.68,ID_cum_num_0.68,ID_cum_rate_0.68,ID_rate_0.68,ID_num_0.9,ID_cum_num_0.9,ID_cum_rate_0.9,ID_rate_0.9,ID_num_0.95,ID_cum_num_0.95,ID_cum_rate_0.95,ID_rate_0.95,ID_num_0.99,ID_cum_num_0.99,ID_cum_rate_0.99,ID_rate_0.99,ID_num_0.999,ID_cum_num_0.999,ID_cum_rate_0.999,ID_rate_0.999,ID_num_0.9999,ID_cum_num_0.9999,ID_cum_rate_0.9999,ID_rate_0.9999,ID_num_0.99999,ID_cum_num_0.99999,ID_cum_rate_0.99999,ID_rate_0.99999
0,1,2,2,1,1,0.5,0.5,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0,2,2,1.0,1.0
1,3,2,4,1,2,0.5,0.5,2,4,1.0,1.0,2,4,1.0,1.0,2,4,1.0,1.0,2,4,1.0,1.0,2,4,1.0,1.0,2,4,1.0,1.0
2,4,3,7,3,5,0.714,1.0,3,7,1.0,1.0,3,7,1.0,1.0,3,7,1.0,1.0,3,7,1.0,1.0,3,7,1.0,1.0,3,7,1.0,1.0
3,5,1,8,0,5,0.625,0.0,1,8,1.0,1.0,1,8,1.0,1.0,1,8,1.0,1.0,1,8,1.0,1.0,1,8,1.0,1.0,1,8,1.0,1.0
4,6,1,9,0,5,0.556,0.0,1,9,1.0,1.0,1,9,1.0,1.0,1,9,1.0,1.0,1,9,1.0,1.0,1,9,1.0,1.0,1,9,1.0,1.0
5,7,3,12,2,7,0.583,0.667,3,12,1.0,1.0,3,12,1.0,1.0,3,12,1.0,1.0,3,12,1.0,1.0,3,12,1.0,1.0,3,12,1.0,1.0
6,8,2,14,1,8,0.571,0.5,2,14,1.0,1.0,2,14,1.0,1.0,2,14,1.0,1.0,2,14,1.0,1.0,2,14,1.0,1.0,2,14,1.0,1.0
7,9,3,17,0,8,0.471,0.0,3,17,1.0,1.0,3,17,1.0,1.0,3,17,1.0,1.0,3,17,1.0,1.0,3,17,1.0,1.0,3,17,1.0,1.0
8,10,2,19,2,10,0.526,1.0,2,19,1.0,1.0,2,19,1.0,1.0,2,19,1.0,1.0,2,19,1.0,1.0,2,19,1.0,1.0,2,19,1.0,1.0
9,11,4,23,4,14,0.609,1.0,4,23,1.0,1.0,4,23,1.0,1.0,4,23,1.0,1.0,4,23,1.0,1.0,4,23,1.0,1.0,4,23,1.0,1.0
10,12,2,25,2,16,0.64,1.0,2,25,1.0,1.0,2,25,1.0,1.0,2,25,1.0,1.0,2,25,1.0,1.0,2,25,1.0,1.0,2,25,1.0,1.0
11,13,5,30,4,20,0.667,0.8,4,29,0.967,0.8,4,29,0.967,0.8,5,30,1.0,1.0,5,30,1.0,1.0,5,30,1.0,1.0,5,30,1.0,1.0
12,15,5,35,4,24,0.686,0.8,5,34,0.971,1.0,5,34,0.971,1.0,5,35,1.0,1.0,5,35,1.0,1.0,5,35,1.0,1.0,5,35,1.0,1.0
13,16,3,38,3,27,0.711,1.0,3,37,0.974,1.0,3,37,0.974,1.0,3,38,1.0,1.0,3,38,1.0,1.0,3,38,1.0,1.0,3,38,1.0,1.0
14,17,4,42,2,29,0.69,0.5,3,40,0.952,0.75,3,40,0.952,0.75,4,42,1.0,1.0,4,42,1.0,1.0,4,42,1.0,1.0,4,42,1.0,1.0
15,18,8,50,4,33,0.66,0.5,8,48,0.96,1.0,8,48,0.96,1.0,8,50,1.0,1.0,8,50,1.0,1.0,8,50,1.0,1.0,8,50,1.0,1.0
16,19,7,57,6,39,0.684,0.857,7,55,0.965,1.0,7,55,0.965,1.0,7,57,1.0,1.0,7,57,1.0,1.0,7,57,1.0,1.0,7,57,1.0,1.0
17,20,7,64,7,46,0.719,1.0,7,62,0.969,1.0,7,62,0.969,1.0,7,64,1.0,1.0,7,64,1.0,1.0,7,64,1.0,1.0,7,64,1.0,1.0
18,21,6,70,4,50,0.714,0.667,6,68,0.971,1.0,6,68,0.971,1.0,6,70,1.0,1.0,6,70,1.0,1.0,6,70,1.0,1.0,6,70,1.0,1.0
