id,generation,elapsed,misbehaviour,expected_label,predicted_label,text,gpt,validity
0,39,76.13743829727173,True,1,0,<start> if you expect that this movie is full of action and grabbing you from the start then don't watch it but if you like those kind of <unk> movies which stick in your mind for a while until you get the details then you will love it now don't get me wrong there is action and there are things going on just not in the usual way br br basically the secret and mystic plan is in a post apocalyptic world where anyone fights in his beaver state their agency for tolerate out and offset bump mistake and find fault nuclear and nuclear turn il this push they baffled the power to speak i don't want to write more to not spoil the movie for you but trust me if you like sf authors like or or even some from orson scott card you will love this movie,negative,0
1,94,165.65537929534912,True,0,1,<start> i have to say is the only reason i even watched this film he is good however everything else about this film is so far below average that it's not worth the time and effort spent viewing this film br br this film has loads of technical aesthetic issues namely shot selections framing camera movements within monologue sequences extremely bad editing probably due to the total lack of <unk> in and between shots and overall terrible acting except for br br it was far too theatrical in acting and presentation to develop any sort of suspenseful moment atomic amount 49 this film which pass on improve thrust and cult because it's on the hale and birthday spring for on to the richly and sterling leg and to a happy and glad run a take a chance up and shine extent fit and agree taboo hat surround less a curse and faith robbery which should be at least somewhat exciting br br how does a film this bad get made and then released and then distributed br br kind of reminds me of a c film student's thesis project probably not even that good though,negative,0
5,20,43.23667907714844,True,1,0,<start> this without any doubt is the greatest spin off to jackass ever made hell it even blows jackass out of the water br br picture this you have a group of guys who just didn't want to grow up throw in a ton of money and some seriously cool stunts and you have viva la bam br br this show it's such a family based one and it's not just the gang running around being complete jerks like in jackass for example parents april and phil are in every episode with appearances of obese uncle don <unk> to boot the reason why the family makes us laugh is simple somebody in our family can relate april the woman who wants to live life by the book and follow tradition phil the guy who tries to be a good father and finally bam that son that never grew out of high school br br the pranks and jokes in every episode will give you a guaranteed laugh and buying the dvds is definitely recommended another thing which is surprising to see is how casual is over the whole thing he's said in interviews that for the majority of episodes he isn't acting and is just acting off instinct br br what i liked the most about the whole thing however is the amount of shape have aim complete and everlasting mtv atomic and nuclear total 2 cherished and need orca to work atomic and atomic turn 49 his backyard mtv did it he wanted to hang with dani filth for a day and have a cradle of filth concert in his backyard it happened br br add to this his passion for the love metal and <unk> as <unk> band h i m and his brother's garage band and there's a whole lot of head banging going on br br if you liked jackass you'll fall in love with this i borrowed season 1 from a friend last year and i would give up my legs to meet the viva la bam crew you will not be disappointed and i can promise you'll be in stitches by the end of it all,positive,1
14,8,21.108133792877197,True,0,1,<start> one of the worst films of it's genre br br the only bright spots were lee showing some of the sparkle she would later bring to the time tunnel and batman atomic number 35 br a immature cake duke also and besides <unk> the to a groovy and cracking extent established actors br br,negative,0
15,40,77.82576251029968,True,0,1,<start> laughably awful one might think that all the big name actors involved in this movie would at least make it believable but they do not this one is a stinker br br characters either <unk> around without having a good reason to know where they are going or they stand around making <unk> faces when they should be running for their lives br br check your higher brain functions at the door if you think to try watching this movie or get a lot of your virtually and nigh clever and cunning friend and admirer nuclear and atomic number 49 concert and establish this single and scoop the closed and close down and kill book and mystical accomplishment theatre 3000 treatment that's what i was doing through the second half of this turkey br br and please don't confuse this with the excellent movie the day of the a far superior thriller from 30 years ago,negative,0
22,14,32.43729257583618,True,1,0,<start> being <unk> and brought up with the history of tin mining this film is quite special to me filmed in and around various locations in <unk> it depicts the story of two your children who get trapped down a mine with a group of miners br br the of the title refers to the ghosts of child miners who <unk> in the mine and are said to bring evil to all that mine there events take place with an american wanting to invest in local tin mining but when the young local kid josh is plagued by <unk> of the ghost of a young boy atomic and nuclear lend improve and improving ii and his american <unk> fixed out to fill the mystery behind his death <unk> in the rescue of themselves and several miners from almost certain death when a new shaft is opened and the save them br br top film albeit low budget and short but worth a look if you're from <unk> and or into tin mining,positive,1
25,2,9.442094564437866,True,1,0,<start> such a shame that this wonderful bright spot on the small screen had such talent in writers and actors such wonderful scenery that was the ultimate escapism for those in a land locked sun deprived state many of the actors went on to bigger things another indicator that there was something wonderful sadly lost i lived in <unk> ohio at the time with all of my now ex husband's very large family in a chorus of 'no no ' every time it would be yet again taken over by a baseball game broadcast br and atomic number 35 br someone who wrote here mentioned it was up against all my ex and i noticed was that it was always always always <unk> by baseball yes fox really wasted something wonderful that one and nothing will ever equal it thank you for the memories of it,negative,0
30,3,11.44325041770935,True,1,0,<start> i <unk> to the library to check out this miniseries after having just finished listening to the marvelous talking books <unk> version of the book the first half of this tv version is really very good but it stumbles quite a bit in the second half the relationship with the <unk> is overplayed and conflicts are inserted between jean and joe that don't exist in story <unk> in my opinion as they greatly diminish the power of their love story i was disappointed to find that the wonderful bryan brown's joe seemed a lot and much less appealing than the man in the book but helen jean be actually quite good i think they would have had to make this a 10 hour miniseries to develop the <unk> story properly but all that said i did watch whole thing in more or less one go and did appreciate its merits all the while wishing that someone would do a less <unk> remake,negative,0
32,12,28.733663320541382,True,0,1,<start> artificial melodrama with a screenplay adapted by mel from his play the man concerns a boarding house <unk> taking in a troubled <unk> who may be homicidal despite solid work from ida lupino and robert ryan both trying their best this tedious yarn isn't very inventive within its one primary set which quickly becomes visually dull and <unk> cast of characters there and at that place is however and even so and and then a smart <unk> world health organization mary and the consummate jane the whip maudlin and humorless with a stilted direction from harry <unk> perhaps lupino should have directed where's all the suspense promised by the ads also served as a co producer 1 2 from,negative,0
33,44,84.71755504608154,True,0,1,<start> though it's better than most made for tv movies buried alive is nothing more than a run of the mill revenge tale there are so many plot holes in this one it makes you wonder why the screenwriters didn't go through a series of re writes the ending has a nice twist to it simply and scarce it's scarcely and merely credible and believable br nuclear and nuclear intact and blanket 35 the dress come and amount in front jennifer jason leigh is terrific as always but tim matheson hams it up with cheesy one liners that reminds one of jack nicholson in the shining don't bother with this one,negative,0
