,cte_l1_m1,cte_l1,cte_l1_p1,cte_l2_m1,cte_l2,cte_l2_p1,cte_max_m1,cte_max,cte_max_p1,cte_der_m1,cte_der,cte_der_p1,steering_l1_m1,steering_l1,steering_l1_p1,steering_l2_m1,steering_l2,steering_l2_p1,steering_max_m1,steering_max,steering_max_p1,steering_der_m1,steering_der,steering_der_p1,time,mutation type,mutation method,episode,method combi
0,-0.2208868916797488,0.1294173913043478,-0.0051757575757575,-0.3012038172527472,0.0953546234782608,-0.006051143030303,-0.4295999999999998,0.2848,-0.0696,-0.0170644607843137,0.0161652173913043,-0.0041393939393939,-0.123824937739139,0.0653246152417167,0.0152320814968058,-0.1128846042945934,0.0414476700022988,0.0033410051003354,-0.2364621162414552,0.2304126024246216,0.0068718194961547,-0.0188610830718614,0.0111828815677891,0.0003071776450131,03-22-19-14,RANDOM,random,0,RANDOM random
1,0.0037952982810919,-0.059717006802721,-0.1057668235294118,-0.0115019220778564,-0.1721755041496598,-0.1601987983137254,-0.2198,-0.4455,-0.1227,-0.0027953968253968,-0.0087697278911564,-0.0134256862745097,0.0172251878264835,-0.0478820494331774,-0.0844841089243909,0.0051599568559275,-0.072361653328951,-0.076383915315197,-0.1395689845085144,-0.2140907645225523,-0.0246258974075317,0.0006119501141328,0.0011074210257351,-0.0111828792095184,03-22-19-14,RANDOM,random,1,RANDOM random
2,-0.2077168351870576,0.0019427083333333,,-0.1345023675884732,0.0049903953882575,,-0.374,0.0777,,-0.0256530158730158,0.0025647727272727,,-0.1365623761663407,-0.0460415139854321,,-0.071313265074264,-0.0074909164517346,,-0.3576462864875793,-0.116843108087778,,-0.0203082752014909,-0.0078983786092563,,03-22-19-14,RANDOM,random,2,RANDOM random
3,-0.3254510616784631,-0.0221480952380952,0.0766920833333332,-0.2766124318301314,-0.0053841129999999,0.1150703532083333,-0.4501,0.0203999999999999,0.2441999999999999,-0.0450982539682539,0.0070449206349206,0.0251783333333333,-0.1706346452228642,-0.0409770322815766,0.0457338436011923,-0.1129252575077017,-0.0063893829634593,0.0537492259980016,-0.3516923785209656,0.0578658580780029,0.182909309864044,-0.0242966127774072,0.0037703073864418,0.0222561289866765,03-22-19-14,RANDOM,random,3,RANDOM random
4,0.0532282608695652,0.0833827315541602,-0.0122771991911021,0.0606237902173912,0.1450373423312401,-5.918447421638523e-05,0.3130999999999999,0.2255999999999999,0.0089,0.0002333333333333,0.0025499607535321,-0.00201865520728,0.0288361264392733,0.0437776293270027,-0.011031664636375,0.0353711627820745,0.0447091131594697,-0.0025402966123555,0.1815918684005737,0.0605868101119995,0.0143221616744995,0.0041094782451788,0.0074664882999761,-0.000478731391102,03-22-19-14,RANDOM,random,4,RANDOM random
5,-0.2035878623188405,0.1760780834072759,0.0240366407982261,-0.2800775967934784,0.3576535768145519,0.0065333915687361,-0.0615000000000001,0.3963999999999998,-0.0027999999999999,-0.0185129550827423,0.0133601597160603,0.0006540465631929,-0.1011441459917662,0.102062364284878,-0.0093182516805703,-0.0786805736758486,0.1107660395874382,-0.0009512262619916,0.0954694747924803,0.1266291141510009,0.0453567504882813,-0.0148259436392421,0.0003527479036359,-0.0003259487991157,03-22-19-14,RANDOM,random,5,RANDOM random
6,,,,,,,,,,,,,,,,,,,,,,,,,03-22-19-14,RANDOM,random,6,RANDOM random
7,0.0306186829448761,0.1616149732620321,-0.0340204751921732,0.2004080163706992,0.2601822355008913,-0.0452770603004891,0.3253000000000001,0.4045000000000001,-0.0585999999999999,0.0128414615384615,0.0215810338680927,-0.0052722921034241,-0.0014020864332533,0.1043414286909701,-0.0369595418637651,0.0200936090713262,0.0987009788394476,-0.0203876849910948,-0.0312334895133972,0.1234380602836607,-0.0834369659423828,-0.0012586149802574,0.0140219014171185,-0.0053261271687673,03-22-19-23,XAI,random,0,XAI random FSC
8,0.6531958855673416,-0.0272617224880382,0.0202515495086924,1.5644005703567985,-0.0552151314864434,0.0056879634618292,0.8864000000000001,-0.0171000000000001,-0.0315999999999998,0.0159353333333333,-0.008683923444976,0.0070644368858654,0.0581274593481868,-0.0183703784987573,0.0233861634313133,0.0216728119979519,-0.0238000472855471,0.0089173033525424,-0.0819531083106994,0.0082606077194216,-0.0317664146423339,0.0025610321760177,-5.907086474281342e-05,0.0019648662364942,03-22-19-23,XAI,random,1,XAI random FSC
9,-0.2400255555555555,0.077024,0.0134156862745097,-0.1422528675,0.0521120524,0.0131112203921568,-0.4978,0.1541,-0.0078,-0.0253501934235976,0.0100479999999999,0.0016470588235294,-0.0499624753888282,0.056177097223699,0.0091346211950568,-0.0492588652827974,0.0293475585928701,0.0120919893045466,-0.2870876789093018,0.1271748542785645,0.0494269132614135,-0.0164942028905252,0.0083766889572143,0.0031237086536837,03-22-19-23,XAI,random,2,XAI random FSC
10,0.0435339743589743,0.1304936742424241,0.051612321909896,0.2254143562820512,0.2355042005113635,0.0814200781671158,0.3134999999999999,0.4344,0.1261000000000001,0.0056052982895285,0.0169588636363636,0.0038095879861378,-0.0036246534571266,0.0709841123916152,0.0365030515234678,0.0132449516640719,0.0841012307573483,0.0292897263626216,-0.0162900090217592,0.1329548358917236,0.0685054659843444,-0.0076861106508913,0.0076183584377621,0.0009629443190306,03-22-19-28,XAI,attention_same,0,XAI attention_same FSC
11,-0.0781666666666666,0.0712733297985153,-0.161387678062678,-0.0429199726666666,0.1279084257529162,-0.2802471598931623,-0.119,0.1084,-0.3151999999999999,-0.0156295454545454,-0.003058271474019,-0.0196882478632478,-0.1428104606353574,0.0328729084100572,-0.0705773678982691,-0.0464173976456624,0.0304783393552961,-0.0606326790814703,-0.2518932744860649,-0.0533111095428466,-0.0442210435867308,-0.0151176993650469,-0.0100058978966665,-0.005551701491205,03-22-19-28,XAI,attention_same,1,XAI attention_same FSC
