population size,total iteration number,misbehaviour number
174,100,115

id,expected_label,predicted_label,misbehaviour,confidence,mutate_attempts,failed
14,0,1,True,0.8570201396942139,2,False
33,0,1,True,0.787004292011261,2,False
42,1,0,True,0.9953999519348145,2,False
66,1,0,True,0.9906952381134033,2,False
120,0,1,True,0.7838355302810669,2,False
125,1,0,True,0.7262115478515625,2,False
121,0,1,True,0.8914652466773987,3,False
5,1,0,True,0.9957590103149414,4,False
30,1,0,True,0.5368295311927795,5,False
148,0,1,True,0.8635953068733215,5,False
32,0,1,True,0.6011174321174622,6,False
84,0,1,True,0.9996577501296997,6,False
89,0,1,True,0.8456302285194397,6,False
149,0,1,True,0.5170456171035767,6,False
155,0,1,True,0.9580016136169434,6,False
77,0,1,True,0.6261864900588989,7,False
156,0,1,True,0.8261950612068176,7,False
21,0,1,True,0.8832285404205322,8,False
39,0,1,True,0.8802506923675537,8,False
52,0,1,True,0.5378438234329224,8,False
94,1,0,True,0.5071947574615479,8,False
118,0,1,True,0.9999663829803467,8,False
135,0,1,True,0.7147051095962524,8,False
44,0,1,True,0.9694874286651611,9,False
80,1,0,True,0.7601495385169983,9,False
102,0,1,True,0.7474505305290222,9,False
31,0,1,True,0.7971860766410828,10,False
59,0,1,True,0.7022101283073425,10,False
49,0,0,False,0.9999284744262695,11,True
141,0,1,True,0.7613905072212219,11,False
108,0,1,True,0.9573399424552917,12,False
45,0,1,True,0.6929012537002563,13,False
57,0,1,True,0.9457926750183105,13,False
146,0,1,True,0.5420138239860535,13,False
157,1,0,True,0.6041550040245056,13,False
47,1,0,True,0.8064779043197632,15,False
107,0,1,True,0.8834835886955261,15,False
123,0,1,True,0.8041151165962219,15,False
140,0,1,True,0.535643458366394,15,False
170,0,1,True,0.9676663875579834,15,False
100,0,1,True,0.5536520481109619,16,False
56,0,1,True,0.7590391635894775,17,False
62,0,1,True,0.956902027130127,17,False
71,0,1,True,0.9168516993522644,17,False
145,1,0,True,0.8654851913452148,19,False
138,1,0,True,0.7991310358047485,20,False
158,0,1,True,0.5956330895423889,20,False
166,0,1,True,0.9453327655792236,21,False
96,1,1,False,0.9996851682662964,22,True
15,0,1,True,0.7647231817245483,23,False
87,0,1,True,0.5902941226959229,23,False
159,0,1,True,0.9754332304000854,24,False
70,0,1,True,0.5959679484367371,25,False
79,0,1,True,0.5793862342834473,25,False
101,0,0,False,0.9999964237213135,25,True
4,0,1,True,0.544409453868866,26,False
17,0,1,True,0.9571889638900757,27,False
110,0,1,True,0.7778564691543579,27,False
8,0,1,True,0.5982958674430847,28,False
98,0,1,True,0.8753193616867065,28,False
104,0,1,True,0.585212767124176,28,False
164,1,0,True,0.9279007911682129,28,False
63,1,0,True,0.8273487091064453,29,False
83,0,1,True,0.7110190987586975,29,False
173,0,1,True,0.7733908891677856,29,False
112,0,1,True,0.9995265007019043,30,False
130,0,1,True,0.6274223923683167,30,False
168,0,1,True,0.6643577814102173,31,False
18,1,0,True,0.6697684526443481,32,False
91,1,0,True,0.9308937788009644,32,False
3,0,1,True,0.5487971305847168,34,False
116,1,0,True,0.9048692584037781,34,False
88,0,1,True,0.6471980214118958,35,False
103,0,1,True,0.740916907787323,35,False
24,1,0,True,0.9951695203781128,36,False
132,0,1,True,0.7027482986450195,40,False
117,0,1,True,0.9390344619750977,43,False
74,0,1,True,0.548521101474762,44,False
152,0,1,True,0.6327799558639526,44,False
27,1,0,True,0.7174733281135559,45,False
38,1,0,True,0.8552834391593933,45,False
